ts,close
2024-01-01 00:00:00,0.0
2024-01-01 01:00:00,0.0
2024-01-01 02:00:00,0.0
2024-01-01 03:00:00,0.0
2024-01-01 04:00:00,0.0
2024-01-01 05:00:00,0.0
2024-01-01 06:00:00,0.0
2024-01-01 07:00:00,0.0
2024-01-01 08:00:00,0.0
2024-01-01 09:00:00,0.0
2024-01-01 10:00:00,0.0
2024-01-01 11:00:00,0.0
2024-01-01 12:00:00,0.0
2024-01-01 13:00:00,0.0
2024-01-01 14:00:00,0.0
2024-01-01 15:00:00,0.0
2024-01-01 16:00:00,0.0
2024-01-01 17:00:00,0.0
2024-01-01 18:00:00,0.0
2024-01-01 19:00:00,0.0
2024-01-01 20:00:00,0.0
2024-01-01 21:00:00,0.0
2024-01-01 22:00:00,0.0
2024-01-01 23:00:00,0.0
2024-01-02 00:00:00,0.0
2024-01-02 01:00:00,0.0
2024-01-02 02:00:00,0.0
2024-01-02 03:00:00,0.0
2024-01-02 04:00:00,0.0
2024-01-02 05:00:00,-0.00019582117729810555
2024-01-02 06:00:00,-0.0011690742086840622
2024-01-02 07:00:00,-0.0009845620341254468
2024-01-02 08:00:00,-0.000751961223569908
2024-01-02 09:00:00,-0.0003823547394675719
2024-01-02 10:00:00,-0.0003823547394675719
2024-01-02 11:00:00,-0.00089516741406237
2024-01-02 12:00:00,-0.0008434356304600765
2024-01-02 13:00:00,-0.0004619875273008667
2024-01-02 14:00:00,-0.0004619875273008667
2024-01-02 15:00:00,-0.0004619875273008667
2024-01-02 16:00:00,-0.0004619875273008667
2024-01-02 17:00:00,-0.0007086209181712544
2024-01-02 18:00:00,-0.0004065033547477892
2024-01-02 19:00:00,-0.0004065033547477892
2024-01-02 20:00:00,-0.0004065033547477892
2024-01-02 21:00:00,-0.0004065033547477892
2024-01-02 22:00:00,-0.0008021183942847898
2024-01-02 23:00:00,-0.0009035871347309321
