symbol,mt5_symbol,contract_size,point_value,pip,base,quote,lot_step,lot_min,lot_max,px_mult,fill_mode,deviation
EURUSD,EURUSD,100000,1,0.0001,EUR,USD,0.01,0.01,200.0,1,0,50
GBPUSD,GBPUSD,100000,1,0.0001,GBP,USD,0.01,0.01,200.0,1,0,50
USDJPY,USDJPY,100000,1,0.01,USD,JPY,0.01,0.01,200.0,1,0,50
AUDUSD,AUDUSD,100000,1,0.0001,AUD,USD,0.01,0.01,200.0,1,0,50
USDCAD,USDCAD,100000,1,0.0001,USD,CAD,0.01,0.01,200.0,1,0,50
USDCHF,USDCHF,100000,1,0.0001,USD,CHF,0.01,0.01,200.0,1,0,50
NZDUSD,NZDUSD,100000,1,0.0001,NZD,USD,0.01,0.01,100.0,1,0,50
US500,US500,1,1,1,USD,USD,0.1,0.1,250.0,50,0,100
DE40,DE40,1,1,1,USD,USD,0.1,0.1,250.0,1,0,100
UK100,UK100,1,1,1,USD,USD,0.1,0.1,250.0,1,0,100
JP225,JP225,1,1,1,USD,USD,1.0,1.0,250.0,1,0,100
XAUUSD,XAUUSD,100000,1,0.0001,XAU,USD,0.01,0.01,100.0,1,0,5000
XAGUSD,XAGUSD,100000,1,0.0001,XAG,USD,0.01,0.01,100.0,1,0,2000
