symbol,entry_time,exit_time,side,entry_px,exit_px,leverage,ret_gross
GBPUSD,2022-01-03 00:00:00+00:00,2022-01-24 00:00:00+00:00,short,1.35209,1.35549,2.107048844445558,-0.0052984387659957685
XAUUSD,2022-01-03 00:00:00+00:00,2022-01-25 00:00:00+00:00,long,1828.294,1843.538,1.3520137827648253,0.011272857704760296
XAUUSD,2022-01-25 00:00:00+00:00,2022-01-27 00:00:00+00:00,short,1843.538,1821.848,1.1540354685030434,0.013577712697992125
GBPUSD,2022-01-24 00:00:00+00:00,2022-01-28 00:00:00+00:00,long,1.35549,1.33872,2.2902233493717037,-0.02833443667527158
GBPUSD,2022-01-28 00:00:00+00:00,2022-02-02 00:00:00+00:00,short,1.33872,1.35239,2.216815862641809,-0.02263645336016017
GBPUSD,2022-02-02 00:00:00+00:00,2022-02-03 00:00:00+00:00,long,1.35239,1.35641,2.0816303071109066,0.006187677988291506
EURUSD,2022-01-20 00:00:00+00:00,2022-02-04 00:00:00+00:00,long,1.13427,1.14352,1.6255241348575418,0.013256189661573325
USDJPY,2022-01-03 00:00:00+00:00,2022-02-07 00:00:00+00:00,long,115.14,115.225,2.810019355282016,0.002074445416006102
USDJPY,2022-02-07 00:00:00+00:00,2022-02-09 00:00:00+00:00,short,115.225,115.533,1.9344447314690771,-0.005170830785788588
EURUSD,2022-02-04 00:00:00+00:00,2022-02-15 00:00:00+00:00,short,1.14352,1.13057,1.3999539789338473,0.015854033184547197
EURUSD,2022-02-15 00:00:00+00:00,2022-02-16 00:00:00+00:00,long,1.13057,1.1355,1.4745416305013628,0.006429933784172207
EURUSD,2022-02-16 00:00:00+00:00,2022-02-20 00:00:00+00:00,short,1.1355,1.13186,1.4618461016176705,0.004686146904348851
GBPUSD,2022-02-03 00:00:00+00:00,2022-02-24 00:00:00+00:00,short,1.35641,1.35444,2.1344000764365014,0.003099924175271057
GBPUSD,2022-02-24 00:00:00+00:00,2022-03-06 00:00:00+00:00,long,1.35444,1.32241,2.2941139721832453,-0.05425155084686622
EURUSD,2022-02-20 00:00:00+00:00,2022-03-17 00:00:00+00:00,long,1.13186,1.10216,1.5278029239235413,-0.040089540084930424
XAUUSD,2022-01-27 00:00:00+00:00,2022-05-25 00:00:00+00:00,long,1821.848,1867.345,1.0307174580373308,0.02574010136318965
XAUUSD,2022-05-25 00:00:00+00:00,2022-05-26 00:00:00+00:00,short,1867.345,1853.908,0.6990018021620812,0.005029861763976124
XAUUSD,2022-05-26 00:00:00+00:00,2022-05-31 00:00:00+00:00,long,1853.908,1852.328,0.698314863371966,-0.0005951414439808837
XAUUSD,2022-05-31 00:00:00+00:00,2022-06-01 00:00:00+00:00,short,1852.328,1836.318,0.7536110804625397,0.006513594459623413
XAUUSD,2022-06-01 00:00:00+00:00,2022-06-03 00:00:00+00:00,long,1836.318,1869.738,0.747097158378679,0.013596766482175528
XAUUSD,2022-06-03 00:00:00+00:00,2022-06-07 00:00:00+00:00,short,1869.738,1839.268,0.7322233369368756,0.011932605036891086
XAUUSD,2022-06-07 00:00:00+00:00,2022-06-12 00:00:00+00:00,long,1839.268,1874.938,0.7631684998959335,0.01480057304932607
XAUUSD,2022-06-12 00:00:00+00:00,2022-06-14 00:00:00+00:00,short,1874.938,1820.833,0.7793178514653663,0.022488739549539092
XAUUSD,2022-06-14 00:00:00+00:00,2022-06-19 00:00:00+00:00,long,1820.833,1837.448,0.6671198875618113,0.006087431923652206
XAUUSD,2022-06-19 00:00:00+00:00,2022-06-20 00:00:00+00:00,short,1837.448,1838.318,0.7067051629177875,-0.0003346127301226932
XAUUSD,2022-06-20 00:00:00+00:00,2022-06-23 00:00:00+00:00,long,1838.318,1836.438,0.706710874713215,-0.0007227348285012185
XAUUSD,2022-06-23 00:00:00+00:00,2022-06-24 00:00:00+00:00,short,1836.438,1824.443,0.7173389518943007,0.0046854185809552225
XAUUSD,2022-06-24 00:00:00+00:00,2022-07-06 00:00:00+00:00,long,1824.443,1769.364,0.744438627503005,-0.022474220989221375
EURUSD,2022-03-17 00:00:00+00:00,2022-11-30 00:00:00+00:00,short,1.10216,1.03234,1.0904624313725548,0.06907897851349325
EURUSD,2022-11-30 00:00:00+00:00,2022-12-01 00:00:00+00:00,long,1.03234,1.04228,0.7826313598746732,0.007535652708559566
XAUUSD,2022-07-06 00:00:00+00:00,2022-12-06 00:00:00+00:00,short,1769.364,1769.137,0.6926112816696179,8.885834737173533e-05
XAUUSD,2022-12-06 00:00:00+00:00,2022-12-08 00:00:00+00:00,long,1769.137,1786.908,0.5837132475007317,0.005863405785609307
XAUUSD,2022-12-08 00:00:00+00:00,2022-12-16 00:00:00+00:00,short,1786.908,1776.455,0.5935700150328255,0.003472247797389762
XAUUSD,2022-12-16 00:00:00+00:00,2022-12-18 00:00:00+00:00,long,1776.455,1792.257,0.7822657948332019,0.006958444818447102
XAUUSD,2022-12-18 00:00:00+00:00,2022-12-19 00:00:00+00:00,short,1792.257,1790.925,0.7896530151317721,0.0005868677405950431
XAUUSD,2022-12-19 00:00:00+00:00,2022-12-21 00:00:00+00:00,long,1790.925,1817.135,0.7944592839038853,0.011626828499865014
XAUUSD,2022-12-21 00:00:00+00:00,2022-12-23 00:00:00+00:00,short,1817.135,1793.435,0.7490208343012634,0.009769111140856294
XAUUSD,2022-12-23 00:00:00+00:00,2022-12-28 00:00:00+00:00,long,1793.435,1812.315,0.7369500691739604,0.007758082844376511
