run,loo,lookbacks,w_tsmom,w_xsec,w_mr,w_volcarry,vc_top_q,vc_bot_q,vc_lookback,target_vol,vol_lookback,max_leverage,cagr,vol,sharpe,maxdd,mar
1,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.1,15,2.0,0.04573614758861266,0.02569466408691304,1.7799862039024388,-0.021725393072099308,2.105193099928259
2,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.1,15,3.0,0.03919100975289713,0.028408466893888516,1.379553845664521,-0.02812809946721706,1.3933045778145712
3,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.1,30,2.0,0.03555162564657488,0.02632475909001159,1.3505014623311118,-0.021943049273943305,1.620177086727474
4,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.1,30,3.0,0.03269483508400395,0.027253312206729968,1.199664643915474,-0.024687270148570306,1.3243600806101026
5,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.15,15,2.0,0.08312365914596653,0.035289035669212765,2.355509510804971,-0.02511430422978933,3.309813339259043
6,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.15,15,3.0,0.07390596471374877,0.03901457688532898,1.8943167045223124,-0.0320407189349492,2.306626292118996
7,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.15,30,2.0,0.06890883522274649,0.03614360021351694,1.9065293666283982,-0.024974892329901688,2.75912441633408
8,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.15,30,3.0,0.05750770680884165,0.0398190398791939,1.4442263546110858,-0.032431778581143766,1.7731900415192565
9,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,84,0.1,15,2.0,0.04573614758861266,0.02569466408691304,1.7799862039024388,-0.021725393072099308,2.105193099928259
10,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,84,0.1,15,3.0,0.03919100975289713,0.028408466893888516,1.379553845664521,-0.02812809946721706,1.3933045778145712
11,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,84,0.1,30,2.0,0.03555162564657488,0.02632475909001159,1.3505014623311118,-0.021943049273943305,1.620177086727474
12,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,84,0.1,30,3.0,0.03269483508400395,0.027253312206729968,1.199664643915474,-0.024687270148570306,1.3243600806101026
13,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,84,0.15,15,2.0,0.08312365914596653,0.035289035669212765,2.355509510804971,-0.02511430422978933,3.309813339259043
14,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,84,0.15,15,3.0,0.07390596471374877,0.03901457688532898,1.8943167045223124,-0.0320407189349492,2.306626292118996
15,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,84,0.15,30,2.0,0.06890883522274649,0.03614360021351694,1.9065293666283982,-0.024974892329901688,2.75912441633408
16,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,84,0.15,30,3.0,0.05750770680884165,0.0398190398791939,1.4442263546110858,-0.032431778581143766,1.7731900415192565
